circuit_index,noisy_counts,ideal_counts
1992,"{""0110"": 316, ""0001"": 13, ""0100"": 348, ""0011"": 10, ""1001"": 6, ""0101"": 96, ""1111"": 8, ""1011"": 5, ""0010"": 30, ""1000"": 6, ""0111"": 102, ""0000"": 18, ""1010"": 6, ""1101"": 10, ""1110"": 18, ""1100"": 8}","{""0100"": 383, ""0110"": 392, ""0101"": 101, ""0111"": 124}"
3238,"{""10"": 749, ""11"": 229, ""00"": 16, ""01"": 6}","{""10"": 760, ""11"": 226, ""00"": 9, ""01"": 5}"
263,"{""10"": 812, ""00"": 188}","{""10"": 796, ""00"": 204}"
1016,"{""101"": 236, ""011"": 229, ""100"": 261, ""110"": 243, ""010"": 8, ""111"": 6, ""000"": 6, ""001"": 11}","{""011"": 234, ""100"": 259, ""110"": 235, ""101"": 272}"
1608,"{""0101"": 506, ""1000"": 9, ""1101"": 174, ""0110"": 8, ""0100"": 32, ""0000"": 99, ""0001"": 51, ""1110"": 9, ""1100"": 27, ""1001"": 24, ""0011"": 13, ""1010"": 5, ""0111"": 13, ""1011"": 10, ""0010"": 4, ""1111"": 16}","{""0101"": 720, ""1101"": 176, ""0000"": 104}"
3650,"{""0100"": 200, ""0110"": 92, ""1111"": 20, ""0010"": 134, ""1011"": 29, ""0011"": 62, ""1101"": 27, ""0000"": 186, ""1110"": 48, ""0111"": 65, ""0001"": 18, ""1001"": 36, ""1100"": 14, ""0101"": 12, ""1010"": 42, ""1000"": 15}","{""0011"": 41, ""0111"": 56, ""0100"": 259, ""1001"": 58, ""0000"": 176, ""0110"": 94, ""0101"": 5, ""0010"": 150, ""1010"": 29, ""1111"": 12, ""1110"": 35, ""1101"": 40, ""0001"": 23, ""1011"": 15, ""1100"": 3, ""1000"": 4}"
2300,"{""01"": 92, ""11"": 581, ""10"": 297, ""00"": 30}","{""11"": 589, ""10"": 304, ""00"": 31, ""01"": 76}"
3110,"{""11"": 344, ""00"": 174, ""10"": 286, ""01"": 196}","{""11"": 285, ""01"": 234, ""00"": 188, ""10"": 293}"
800,"{""1000"": 452, ""0000"": 474, ""1010"": 10, ""0010"": 15, ""0001"": 12, ""0011"": 6, ""1110"": 5, ""1111"": 1, ""0110"": 2, ""0100"": 5, ""1001"": 12, ""1100"": 1, ""1101"": 3, ""0101"": 2}","{""0000"": 487, ""1000"": 513}"
1074,"{""10111"": 2, ""00000"": 573, ""00010"": 203, ""01010"": 13, ""01000"": 28, ""10000"": 24, ""11010"": 7, ""10010"": 99, ""00001"": 13, ""00100"": 7, ""01111"": 1, ""10011"": 4, ""00110"": 5, ""10100"": 1, ""00011"": 5, ""01110"": 2, ""11000"": 6, ""11001"": 2, ""01001"": 1, ""10110"": 2, ""01100"": 2}","{""00000"": 509, ""00010"": 241, ""10010"": 250}"
