circuit_index,noisy_counts,ideal_counts
1216,"{""1000"": 40, ""0000"": 805, ""0101"": 10, ""0100"": 28, ""0001"": 22, ""0010"": 32, ""1110"": 10, ""1010"": 10, ""0111"": 3, ""1101"": 4, ""1100"": 13, ""1011"": 4, ""0011"": 10, ""0110"": 5, ""1001"": 4}","{""0000"": 1000}"
3140,"{""110"": 392, ""111"": 190, ""100"": 215, ""101"": 125, ""000"": 13, ""011"": 16, ""001"": 18, ""010"": 31}","{""100"": 255, ""111"": 208, ""101"": 85, ""110"": 395, ""010"": 28, ""000"": 11, ""011"": 12, ""001"": 6}"
2443,"{""00100"": 12, ""00001"": 49, ""01001"": 3, ""00000"": 777, ""11000"": 8, ""00010"": 43, ""00011"": 9, ""01000"": 21, ""10010"": 2, ""10100"": 2, ""11100"": 3, ""10000"": 8, ""00111"": 10, ""10001"": 9, ""01011"": 2, ""01110"": 2, ""01101"": 1, ""00110"": 11, ""11001"": 5, ""00101"": 7, ""01100"": 5, ""10110"": 3, ""10101"": 1, ""11101"": 2, ""01010"": 2, ""11110"": 1, ""01111"": 1, ""10111"": 1}","{""00000"": 1000}"
2028,"{""01000"": 774, ""00110"": 3, ""00101"": 5, ""01100"": 41, ""01010"": 23, ""00000"": 57, ""10001"": 2, ""11100"": 7, ""01001"": 27, ""11000"": 16, ""10010"": 3, ""01011"": 3, ""01110"": 3, ""00001"": 5, ""00011"": 2, ""11001"": 7, ""01111"": 1, ""11101"": 2, ""00100"": 9, ""00010"": 3, ""01101"": 5, ""11010"": 2}","{""00000"": 7, ""01000"": 993}"
948,"{""10"": 247, ""00"": 258, ""11"": 269, ""01"": 226}","{""11"": 255, ""00"": 246, ""01"": 247, ""10"": 252}"
2887,"{""101"": 214, ""110"": 95, ""011"": 568, ""001"": 38, ""000"": 6, ""100"": 52, ""111"": 17, ""010"": 10}","{""011"": 659, ""110"": 114, ""101"": 186, ""100"": 39, ""001"": 2}"
2212,"{""00"": 492, ""11"": 451, ""01"": 27, ""10"": 30}","{""00"": 460, ""11"": 494, ""10"": 25, ""01"": 21}"
1889,"{""00100"": 574, ""00110"": 179, ""00000"": 75, ""10100"": 21, ""00101"": 17, ""00001"": 10, ""10111"": 11, ""01000"": 3, ""11100"": 9, ""10110"": 19, ""01110"": 5, ""10010"": 4, ""11110"": 2, ""00010"": 20, ""00111"": 8, ""00011"": 5, ""01001"": 2, ""10000"": 4, ""10101"": 8, ""01100"": 11, ""01111"": 2, ""01010"": 2, ""11111"": 2, ""01101"": 4, ""11001"": 1, ""10001"": 1, ""01011"": 1}","{""00000"": 46, ""00100"": 644, ""00110"": 285, ""00010"": 25}"
3698,"{""01"": 252, ""00"": 101, ""10"": 553, ""11"": 94}","{""01"": 287, ""10"": 573, ""00"": 63, ""11"": 77}"
3198,"{""00"": 296, ""10"": 206, ""01"": 187, ""11"": 311}","{""11"": 291, ""00"": 274, ""01"": 217, ""10"": 218}"
2964,"{""0110"": 43, ""0100"": 229, ""1110"": 282, ""0000"": 165, ""1000"": 16, ""1101"": 15, ""1111"": 15, ""1010"": 111, ""0001"": 16, ""1100"": 26, ""0010"": 20, ""1011"": 16, ""0111"": 21, ""0101"": 15, ""1001"": 7, ""0011"": 3}","{""1010"": 96, ""1110"": 410, ""0100"": 392, ""0000"": 102}"
348,"{""00000"": 592, ""10100"": 278, ""11011"": 1, ""11100"": 4, ""00100"": 13, ""00001"": 20, ""10101"": 9, ""10000"": 24, ""11000"": 5, ""00010"": 6, ""10001"": 15, ""01000"": 9, ""01100"": 2, ""01011"": 2, ""10110"": 5, ""00101"": 2, ""00011"": 2, ""11001"": 2, ""10011"": 1, ""11111"": 1, ""10111"": 1, ""11010"": 1, ""10010"": 2, ""01010"": 1, ""11101"": 1, ""01001"": 1}","{""00000"": 685, ""10100"": 315}"
3746,"{""11011"": 10, ""01110"": 62, ""01011"": 71, ""11111"": 3, ""00111"": 54, ""00011"": 66, ""00010"": 206, ""01001"": 25, ""10101"": 2, ""01010"": 187, ""11010"": 12, ""00110"": 46, ""00000"": 32, ""01111"": 40, ""10110"": 6, ""00101"": 19, ""00100"": 11, ""01100"": 20, ""01000"": 47, ""10010"": 10, ""11100"": 5, ""00001"": 22, ""01101"": 8, ""11000"": 8, ""11110"": 3, ""10011"": 3, ""11001"": 11, ""10100"": 1, ""10000"": 5, ""11101"": 2, ""10001"": 1, ""10111"": 2}","{""01010"": 318, ""01011"": 103, ""00010"": 296, ""01111"": 25, ""00110"": 16, ""00011"": 96, ""00111"": 66, ""01110"": 80}"
3644,"{""00"": 284, ""01"": 173, ""11"": 285, ""10"": 258}","{""11"": 248, ""01"": 256, ""00"": 225, ""10"": 271}"
2945,"{""1101"": 434, ""1100"": 168, ""0110"": 52, ""0101"": 38, ""1001"": 58, ""1010"": 16, ""1111"": 23, ""0111"": 96, ""1011"": 17, ""1110"": 16, ""0011"": 14, ""1000"": 32, ""0000"": 7, ""0001"": 6, ""0100"": 15, ""0010"": 8}","{""1001"": 59, ""0011"": 21, ""1100"": 175, ""1101"": 529, ""0111"": 143, ""0110"": 68, ""0010"": 2, ""1000"": 3}"
2411,"{""1100"": 257, ""1111"": 19, ""1101"": 217, ""0111"": 204, ""0100"": 224, ""1110"": 16, ""0101"": 23, ""0110"": 21, ""1000"": 6, ""0000"": 3, ""1001"": 6, ""0010"": 1, ""1010"": 1, ""0001"": 1, ""0011"": 1}","{""0100"": 283, ""1101"": 262, ""0111"": 212, ""1100"": 243}"
725,"{""00"": 986, ""11"": 3, ""10"": 7, ""01"": 4}","{""00"": 1000}"
2786,"{""001"": 705, ""100"": 27, ""000"": 204, ""010"": 13, ""101"": 29, ""011"": 6, ""111"": 11, ""110"": 5}","{""001"": 823, ""000"": 177}"
1702,"{""00000"": 158, ""00111"": 31, ""00011"": 40, ""00110"": 239, ""00010"": 207, ""10101"": 2, ""00100"": 183, ""10111"": 4, ""00101"": 25, ""10011"": 5, ""10000"": 4, ""01111"": 3, ""00001"": 21, ""01010"": 9, ""01110"": 13, ""11110"": 4, ""01000"": 8, ""01011"": 2, ""10010"": 10, ""11000"": 3, ""10110"": 9, ""01100"": 9, ""10100"": 5, ""11010"": 3, ""11100"": 2, ""10001"": 1}","{""00110"": 278, ""00010"": 280, ""00100"": 140, ""00011"": 39, ""00001"": 32, ""00000"": 153, ""00111"": 52, ""00101"": 26}"
3592,"{""11"": 224, ""10"": 174, ""00"": 431, ""01"": 171}","{""11"": 170, ""01"": 221, ""00"": 448, ""10"": 161}"
1511,"{""1000"": 476, ""1001"": 383, ""1101"": 22, ""0001"": 14, ""0100"": 10, ""1011"": 9, ""1100"": 21, ""1010"": 16, ""1110"": 4, ""0000"": 19, ""0010"": 4, ""0101"": 12, ""1111"": 3, ""0111"": 2, ""0110"": 2, ""0011"": 3}","{""1001"": 485, ""1000"": 515}"
1350,"{""0000"": 910, ""0100"": 19, ""0010"": 15, ""1100"": 8, ""0001"": 21, ""0011"": 5, ""1000"": 12, ""1011"": 3, ""0101"": 5, ""1010"": 1, ""0111"": 1}","{""0000"": 1000}"
2764,"{""1101"": 502, ""1111"": 304, ""1011"": 41, ""0101"": 59, ""1100"": 15, ""0100"": 3, ""0010"": 2, ""1110"": 8, ""0111"": 29, ""0110"": 4, ""1001"": 15, ""0000"": 6, ""0011"": 5, ""1000"": 3, ""1010"": 2, ""0001"": 2}","{""1101"": 653, ""1111"": 341, ""1011"": 3, ""1001"": 3}"
1521,"{""01"": 175, ""10"": 322, ""11"": 345, ""00"": 158}","{""11"": 339, ""10"": 334, ""01"": 160, ""00"": 167}"
829,"{""00000"": 860, ""01000"": 25, ""00101"": 5, ""10000"": 22, ""00110"": 4, ""00100"": 20, ""10010"": 3, ""00010"": 15, ""01100"": 4, ""00001"": 18, ""11000"": 7, ""00111"": 2, ""01001"": 4, ""00011"": 3, ""01110"": 1, ""10001"": 1, ""01010"": 1, ""10101"": 1, ""10110"": 1, ""11100"": 1, ""11010"": 1, ""10011"": 1}","{""00000"": 1000}"
3204,"{""001"": 873, ""010"": 5, ""011"": 21, ""101"": 43, ""000"": 22, ""110"": 6, ""100"": 20, ""111"": 10}","{""001"": 1000}"
2918,"{""1100"": 103, ""1110"": 126, ""0000"": 171, ""1010"": 126, ""0100"": 167, ""0101"": 40, ""1111"": 31, ""1000"": 73, ""1001"": 23, ""0010"": 24, ""0111"": 5, ""1101"": 32, ""0011"": 20, ""0001"": 36, ""0110"": 17, ""1011"": 6}","{""1110"": 152, ""1000"": 106, ""0000"": 171, ""1001"": 19, ""1010"": 153, ""1100"": 96, ""1111"": 26, ""0100"": 168, ""0001"": 38, ""0011"": 27, ""1101"": 16, ""0101"": 28}"
874,"{""010"": 228, ""011"": 232, ""000"": 37, ""111"": 218, ""110"": 213, ""001"": 27, ""100"": 15, ""101"": 30}","{""001"": 19, ""010"": 221, ""111"": 210, ""011"": 248, ""000"": 17, ""110"": 246, ""101"": 19, ""100"": 20}"
1987,"{""01"": 970, ""00"": 12, ""10"": 9, ""11"": 9}","{""01"": 989, ""10"": 11}"
1278,"{""01"": 641, ""11"": 340, ""10"": 9, ""00"": 10}","{""01"": 616, ""11"": 377, ""10"": 3, ""00"": 4}"
