circuit_index,noisy_counts,ideal_counts
2027,"{""100"": 341, ""110"": 340, ""000"": 134, ""010"": 113, ""001"": 10, ""101"": 27, ""011"": 12, ""111"": 23}","{""110"": 372, ""010"": 121, ""100"": 377, ""000"": 130}"
2028,"{""11001"": 13, ""00000"": 41, ""01000"": 773, ""11000"": 43, ""01001"": 42, ""01100"": 22, ""00100"": 15, ""01110"": 3, ""00101"": 6, ""01101"": 13, ""00001"": 4, ""01010"": 9, ""10100"": 3, ""01011"": 2, ""10000"": 4, ""11010"": 3, ""11100"": 3, ""11101"": 1}","{""01000"": 994, ""00000"": 6}"
2029,"{""010"": 444, ""011"": 458, ""000"": 34, ""111"": 10, ""110"": 9, ""001"": 32, ""100"": 7, ""101"": 6}","{""010"": 494, ""011"": 506}"
2030,"{""1011"": 20, ""0010"": 391, ""1001"": 9, ""0001"": 7, ""1010"": 453, ""0011"": 16, ""1000"": 25, ""0000"": 28, ""1110"": 19, ""0110"": 18, ""0100"": 4, ""0111"": 4, ""1100"": 3, ""1111"": 2, ""0101"": 1}","{""1010"": 556, ""0010"": 441, ""1110"": 2, ""0110"": 1}"
2031,"{""0000"": 726, ""0100"": 52, ""1100"": 38, ""0010"": 55, ""1010"": 8, ""0001"": 34, ""0111"": 2, ""0101"": 3, ""0110"": 23, ""1000"": 30, ""1101"": 4, ""1011"": 3, ""0011"": 15, ""1111"": 1, ""1110"": 5, ""1001"": 1}","{""0000"": 978, ""1100"": 22}"
2032,"{""11"": 800, ""00"": 66, ""10"": 117, ""01"": 17}","{""11"": 808, ""00"": 63, ""10"": 129}"
2033,"{""100"": 864, ""111"": 22, ""011"": 15, ""110"": 16, ""101"": 34, ""000"": 26, ""001"": 10, ""010"": 13}","{""100"": 1000}"
2034,"{""000"": 173, ""100"": 194, ""001"": 98, ""011"": 86, ""101"": 114, ""111"": 91, ""010"": 130, ""110"": 114}","{""010"": 158, ""000"": 172, ""111"": 81, ""011"": 99, ""100"": 175, ""101"": 113, ""110"": 115, ""001"": 87}"
2035,"{""10"": 447, ""11"": 272, ""01"": 163, ""00"": 118}","{""10"": 475, ""11"": 298, ""00"": 97, ""01"": 130}"
2036,"{""10010"": 193, ""00011"": 19, ""10110"": 212, ""10111"": 17, ""00110"": 210, ""01011"": 2, ""00010"": 227, ""01101"": 2, ""00111"": 28, ""01010"": 3, ""00000"": 8, ""10011"": 15, ""00100"": 21, ""10100"": 6, ""01110"": 10, ""11010"": 3, ""10000"": 13, ""00001"": 1, ""11011"": 3, ""11111"": 2, ""01111"": 1, ""10001"": 2, ""00101"": 1, ""11110"": 1}","{""10110"": 222, ""10111"": 10, ""00110"": 239, ""10010"": 230, ""00100"": 20, ""10011"": 14, ""00010"": 221, ""10000"": 19, ""00011"": 16, ""00111"": 8, ""00101"": 1}"
