circuit_index,noisy_counts,ideal_counts
2498,"{""00"": 979, ""01"": 8, ""11"": 4, ""10"": 9}","{""00"": 1000}"
1304,"{""011"": 924, ""111"": 31, ""101"": 30, ""010"": 5, ""001"": 8, ""110"": 1, ""000"": 1}","{""011"": 926, ""101"": 35, ""111"": 39}"
1505,"{""0000"": 642, ""1010"": 208, ""1110"": 11, ""0101"": 3, ""0010"": 45, ""1011"": 2, ""0110"": 11, ""1100"": 13, ""1000"": 32, ""0001"": 12, ""1111"": 2, ""0100"": 15, ""1001"": 1, ""1101"": 1, ""0011"": 2}","{""1000"": 32, ""0000"": 687, ""1010"": 266, ""0010"": 12, ""0110"": 1, ""1100"": 2}"
2475,"{""01"": 471, ""00"": 325, ""11"": 22, ""10"": 182}","{""01"": 494, ""00"": 333, ""10"": 152, ""11"": 21}"
105,"{""0000"": 429, ""0001"": 500, ""0100"": 15, ""1001"": 16, ""0011"": 10, ""1010"": 1, ""1000"": 9, ""0010"": 7, ""0101"": 10, ""0111"": 2, ""1110"": 1}","{""0001"": 504, ""0000"": 496}"
843,"{""00000"": 219, ""01000"": 608, ""01100"": 40, ""01010"": 24, ""11000"": 9, ""00100"": 18, ""10000"": 8, ""01001"": 13, ""11110"": 2, ""00011"": 1, ""01011"": 3, ""11010"": 4, ""11001"": 7, ""00101"": 3, ""01101"": 3, ""00001"": 9, ""11101"": 4, ""01111"": 3, ""11011"": 4, ""00010"": 3, ""11100"": 2, ""00110"": 2, ""10101"": 1, ""11111"": 3, ""01110"": 1, ""10100"": 2, ""10010"": 3, ""10111"": 1}","{""01000"": 787, ""00000"": 213}"
3298,"{""00"": 207, ""01"": 288, ""10"": 337, ""11"": 168}","{""00"": 181, ""10"": 378, ""11"": 131, ""01"": 310}"
1222,"{""110"": 277, ""001"": 214, ""011"": 255, ""000"": 180, ""010"": 20, ""101"": 24, ""100"": 14, ""111"": 16}","{""001"": 220, ""110"": 267, ""000"": 209, ""011"": 304}"
2985,"{""00"": 986, ""01"": 5, ""10"": 4, ""11"": 5}","{""00"": 1000}"
2781,"{""00000"": 597, ""00010"": 140, ""00001"": 37, ""01000"": 36, ""00110"": 8, ""01011"": 6, ""01100"": 10, ""00100"": 32, ""10100"": 9, ""10000"": 23, ""01001"": 6, ""11101"": 8, ""01010"": 9, ""11000"": 3, ""00101"": 13, ""10101"": 5, ""10001"": 5, ""01110"": 4, ""10010"": 6, ""00011"": 8, ""01101"": 7, ""00111"": 4, ""11001"": 5, ""01111"": 5, ""10110"": 1, ""10011"": 5, ""11110"": 1, ""10111"": 2, ""11011"": 3, ""11100"": 1, ""11010"": 1}","{""00000"": 769, ""00010"": 231}"
163,"{""00"": 988, ""11"": 2, ""01"": 7, ""10"": 3}","{""00"": 1000}"
3183,"{""0001"": 174, ""0000"": 582, ""0010"": 33, ""0011"": 42, ""1010"": 115, ""0101"": 4, ""1001"": 12, ""0100"": 9, ""1011"": 16, ""1111"": 2, ""1000"": 6, ""0110"": 2, ""1110"": 3}","{""1000"": 13, ""0000"": 632, ""1001"": 7, ""1010"": 79, ""0001"": 163, ""1011"": 21, ""0010"": 46, ""0011"": 39}"
599,"{""01"": 201, ""10"": 16, ""00"": 219, ""11"": 564}","{""11"": 567, ""01"": 203, ""00"": 223, ""10"": 7}"
3234,"{""01"": 510, ""11"": 284, ""10"": 98, ""00"": 108}","{""01"": 470, ""00"": 115, ""11"": 345, ""10"": 70}"
3461,"{""11000"": 27, ""10100"": 290, ""11111"": 6, ""10000"": 410, ""00000"": 44, ""11010"": 8, ""00100"": 33, ""10010"": 14, ""11100"": 9, ""11110"": 2, ""00011"": 5, ""11001"": 7, ""00010"": 6, ""10110"": 10, ""10101"": 16, ""11101"": 23, ""10001"": 28, ""01001"": 1, ""00101"": 6, ""00001"": 8, ""10111"": 3, ""10011"": 6, ""01000"": 6, ""00110"": 7, ""01101"": 8, ""11011"": 5, ""01010"": 4, ""01011"": 2, ""00111"": 2, ""01100"": 3, ""01110"": 1}","{""10100"": 497, ""10000"": 503}"
3555,"{""11"": 404, ""10"": 123, ""01"": 358, ""00"": 115}","{""10"": 157, ""01"": 334, ""11"": 399, ""00"": 110}"
2110,"{""00"": 369, ""01"": 232, ""10"": 338, ""11"": 61}","{""10"": 347, ""00"": 379, ""01"": 211, ""11"": 63}"
1999,"{""01101"": 15, ""00100"": 437, ""10100"": 38, ""00101"": 349, ""10001"": 5, ""00000"": 18, ""00111"": 13, ""10101"": 36, ""00110"": 13, ""00010"": 3, ""10000"": 6, ""11100"": 4, ""01100"": 15, ""10010"": 3, ""00001"": 11, ""01111"": 7, ""11111"": 1, ""11011"": 2, ""00011"": 2, ""10111"": 4, ""01001"": 2, ""01000"": 4, ""11110"": 1, ""11101"": 4, ""10011"": 2, ""11010"": 1, ""11000"": 1, ""01110"": 2, ""10110"": 1}","{""00101"": 483, ""01101"": 35, ""00100"": 454, ""01100"": 28}"
1039,"{""01001"": 304, ""10001"": 81, ""11001"": 283, ""01000"": 98, ""01100"": 7, ""00001"": 76, ""10000"": 22, ""11000"": 79, ""11011"": 2, ""00000"": 21, ""01101"": 9, ""11101"": 2, ""00101"": 5, ""10011"": 1, ""10100"": 2, ""01011"": 3, ""10110"": 1, ""10101"": 2, ""01111"": 1, ""00100"": 1}","{""11001"": 339, ""00000"": 21, ""10001"": 69, ""01000"": 63, ""10000"": 10, ""00001"": 93, ""11000"": 54, ""01001"": 351}"
2603,"{""10000"": 453, ""10100"": 278, ""11100"": 13, ""10110"": 17, ""11000"": 46, ""10101"": 11, ""00000"": 73, ""01000"": 10, ""00100"": 29, ""11101"": 4, ""10111"": 6, ""11001"": 4, ""10010"": 8, ""11110"": 4, ""01100"": 7, ""01010"": 2, ""10011"": 2, ""00001"": 2, ""10001"": 8, ""00010"": 4, ""11011"": 2, ""01110"": 1, ""01111"": 1, ""00110"": 6, ""00011"": 1, ""01101"": 3, ""00111"": 2, ""01011"": 1, ""00101"": 2}","{""10000"": 586, ""10100"": 320, ""10111"": 7, ""00100"": 33, ""00000"": 49, ""00111"": 1, ""10110"": 4}"
3907,"{""11"": 114, ""00"": 876, ""10"": 5, ""01"": 5}","{""00"": 901, ""11"": 99}"
3197,"{""00010"": 433, ""01011"": 63, ""00000"": 232, ""01010"": 26, ""00001"": 34, ""10010"": 21, ""01100"": 4, ""10111"": 10, ""01000"": 17, ""01001"": 11, ""00111"": 9, ""00100"": 7, ""10110"": 7, ""10000"": 14, ""10001"": 2, ""00110"": 24, ""00011"": 25, ""11110"": 4, ""01101"": 3, ""11010"": 4, ""11100"": 1, ""01111"": 10, ""10100"": 8, ""10011"": 4, ""10101"": 9, ""11000"": 3, ""00101"": 7, ""11001"": 2, ""01110"": 5, ""11111"": 1}","{""01011"": 89, ""00010"": 611, ""00000"": 271, ""00001"": 29}"
3576,"{""0101"": 78, ""1101"": 332, ""0000"": 12, ""1111"": 351, ""1100"": 13, ""1001"": 10, ""1010"": 29, ""1011"": 40, ""0110"": 25, ""0111"": 39, ""1000"": 5, ""1110"": 17, ""0011"": 18, ""0100"": 18, ""0001"": 8, ""0010"": 5}","{""1111"": 451, ""1101"": 450, ""1011"": 33, ""0101"": 64, ""0001"": 2}"
536,"{""1110"": 93, ""0010"": 314, ""1010"": 293, ""1111"": 45, ""0011"": 42, ""1011"": 34, ""0110"": 107, ""1100"": 11, ""0100"": 5, ""0001"": 2, ""0000"": 12, ""1000"": 23, ""0111"": 15, ""1101"": 1, ""1001"": 2, ""0101"": 1}","{""1011"": 33, ""0010"": 340, ""1010"": 362, ""1111"": 42, ""0110"": 110, ""1110"": 65, ""0111"": 11, ""0011"": 37}"
733,"{""00001"": 443, ""01001"": 373, ""00101"": 10, ""11101"": 10, ""10101"": 7, ""00100"": 4, ""00011"": 12, ""00000"": 16, ""11001"": 20, ""01000"": 25, ""11011"": 6, ""00111"": 8, ""10000"": 2, ""10001"": 17, ""10110"": 1, ""00110"": 2, ""01100"": 5, ""01101"": 10, ""01111"": 4, ""01011"": 10, ""11111"": 4, ""10100"": 1, ""11100"": 1, ""10111"": 3, ""01010"": 1, ""10011"": 4, ""11000"": 1}","{""00001"": 498, ""01001"": 502}"
3863,"{""11"": 676, ""10"": 153, ""01"": 140, ""00"": 31}","{""01"": 104, ""11"": 704, ""10"": 160, ""00"": 32}"
548,"{""00"": 976, ""01"": 8, ""10"": 9, ""11"": 7}","{""00"": 1000}"
2100,"{""01"": 900, ""11"": 66, ""00"": 31, ""10"": 3}","{""01"": 915, ""11"": 44, ""00"": 39, ""10"": 2}"
3512,"{""01001"": 28, ""10100"": 57, ""11100"": 243, ""11000"": 167, ""10011"": 3, ""10001"": 17, ""00001"": 14, ""00101"": 20, ""01100"": 121, ""00111"": 5, ""11110"": 10, ""01000"": 83, ""11101"": 8, ""01111"": 16, ""00000"": 17, ""10000"": 36, ""11001"": 34, ""11111"": 25, ""00011"": 3, ""01101"": 7, ""10110"": 3, ""01110"": 6, ""00100"": 26, ""11010"": 4, ""01011"": 5, ""10101"": 14, ""11011"": 3, ""10111"": 5, ""01010"": 6, ""00110"": 5, ""00010"": 2, ""10010"": 7}","{""10100"": 30, ""11100"": 345, ""01100"": 181, ""00001"": 10, ""11000"": 185, ""01001"": 22, ""01111"": 37, ""00100"": 9, ""01000"": 74, ""11111"": 41, ""11001"": 15, ""10001"": 9, ""10000"": 9, ""10101"": 10, ""00101"": 15, ""00000"": 8}"
2014,"{""010"": 679, ""001"": 190, ""000"": 95, ""011"": 2, ""110"": 5, ""111"": 24, ""100"": 3, ""101"": 2}","{""010"": 700, ""111"": 26, ""001"": 168, ""000"": 106}"
79,"{""00100"": 458, ""10100"": 523, ""10110"": 2, ""10000"": 4, ""10101"": 3, ""00101"": 3, ""00000"": 3, ""00110"": 4}","{""00100"": 503, ""10100"": 497}"
1330,"{""000"": 451, ""100"": 504, ""101"": 10, ""110"": 9, ""010"": 11, ""001"": 13, ""111"": 2}","{""000"": 498, ""100"": 502}"
3391,"{""010"": 298, ""101"": 154, ""000"": 223, ""001"": 236, ""100"": 36, ""011"": 11, ""111"": 25, ""110"": 17}","{""001"": 236, ""010"": 266, ""000"": 284, ""101"": 214}"
15,"{""111"": 220, ""100"": 265, ""101"": 230, ""001"": 15, ""110"": 241, ""010"": 14, ""000"": 10, ""011"": 5}","{""101"": 246, ""111"": 246, ""110"": 258, ""100"": 250}"
2093,"{""11"": 671, ""00"": 183, ""10"": 104, ""01"": 42}","{""10"": 97, ""11"": 742, ""00"": 145, ""01"": 16}"
