circuit_index,noisy_counts,ideal_counts
3687,"{""1001"": 183, ""0001"": 173, ""1010"": 39, ""0111"": 47, ""1101"": 173, ""1000"": 30, ""0011"": 47, ""0101"": 181, ""0000"": 29, ""1100"": 18, ""1110"": 29, ""1111"": 9, ""0010"": 4, ""0110"": 4, ""0100"": 20, ""1011"": 14}","{""0111"": 43, ""1010"": 28, ""0001"": 203, ""1001"": 191, ""0101"": 202, ""1101"": 194, ""0000"": 16, ""0011"": 33, ""1000"": 14, ""1011"": 7, ""1110"": 36, ""0110"": 1, ""0100"": 14, ""1100"": 12, ""0010"": 4, ""1111"": 2}"
3688,"{""00000"": 6, ""10001"": 148, ""10101"": 365, ""10000"": 91, ""00001"": 19, ""10100"": 183, ""11100"": 18, ""10111"": 9, ""11001"": 14, ""11010"": 8, ""00100"": 17, ""11000"": 19, ""11101"": 36, ""01101"": 3, ""00101"": 13, ""11110"": 1, ""10110"": 1, ""10011"": 10, ""01000"": 4, ""01010"": 4, ""00110"": 3, ""11111"": 4, ""11011"": 11, ""10010"": 6, ""01001"": 1, ""00011"": 2, ""01100"": 2, ""01011"": 1, ""01110"": 1}","{""10001"": 198, ""10100"": 209, ""10101"": 506, ""10000"": 87}"
3689,"{""00000"": 13, ""11011"": 18, ""00011"": 221, ""10111"": 28, ""10011"": 171, ""00100"": 6, ""01010"": 12, ""11000"": 10, ""10101"": 41, ""00101"": 5, ""10000"": 104, ""01011"": 14, ""01000"": 3, ""11110"": 8, ""10110"": 62, ""00110"": 73, ""00010"": 28, ""00001"": 11, ""01110"": 5, ""00111"": 28, ""11010"": 6, ""11101"": 6, ""10001"": 25, ""11100"": 7, ""10010"": 29, ""11001"": 10, ""10100"": 35, ""11111"": 3, ""01001"": 1, ""01101"": 8, ""01111"": 5, ""01100"": 4}","{""00011"": 284, ""10011"": 246, ""10000"": 143, ""10101"": 45, ""00110"": 118, ""10110"": 94, ""10100"": 24, ""10001"": 11, ""10111"": 11, ""10010"": 5, ""00010"": 4, ""00111"": 15}"
3690,"{""10"": 779, ""01"": 23, ""11"": 91, ""00"": 107}","{""10"": 832, ""11"": 78, ""00"": 82, ""01"": 8}"
3691,"{""1101"": 26, ""0100"": 239, ""1000"": 109, ""0000"": 249, ""0111"": 24, ""1100"": 115, ""0010"": 22, ""0101"": 53, ""1001"": 25, ""0001"": 48, ""1110"": 10, ""1011"": 23, ""0110"": 11, ""1010"": 15, ""1111"": 18, ""0011"": 13}","{""1101"": 10, ""0100"": 346, ""1100"": 132, ""1000"": 137, ""0000"": 318, ""0101"": 17, ""1001"": 11, ""0001"": 29}"
3694,"{""00"": 541, ""10"": 311, ""01"": 127, ""11"": 21}","{""10"": 325, ""00"": 517, ""01"": 138, ""11"": 20}"
3695,"{""01"": 715, ""11"": 41, ""00"": 234, ""10"": 10}","{""01"": 766, ""00"": 234}"
3697,"{""11"": 661, ""10"": 171, ""01"": 96, ""00"": 72}","{""01"": 95, ""00"": 95, ""11"": 666, ""10"": 144}"
3701,"{""00010"": 299, ""10110"": 8, ""10100"": 12, ""01010"": 30, ""00001"": 6, ""00011"": 46, ""10010"": 308, ""00000"": 53, ""01000"": 18, ""10000"": 36, ""00110"": 28, ""01101"": 3, ""11010"": 31, ""01111"": 7, ""10011"": 22, ""01001"": 5, ""01110"": 8, ""00100"": 4, ""01100"": 1, ""11011"": 13, ""10111"": 9, ""01011"": 7, ""11001"": 1, ""11110"": 21, ""10001"": 9, ""10101"": 1, ""11000"": 8, ""00111"": 3, ""11111"": 2, ""11100"": 1}","{""10010"": 478, ""00010"": 522}"
3702,"{""11"": 605, ""00"": 209, ""01"": 173, ""10"": 13}","{""11"": 647, ""00"": 191, ""01"": 162}"
